,spread,price_std,transactions_mean,transactions_sum,volume_mean,volume_sum,tick_size,params_id,seed
203,0.00571,0.007847,101.031621,25561,171.869565,43483,0.2,512,40
204,0.006786,0.00691,96.458498,24404,193.474308,48949,0.5,892,40
205,0.003641,0.010068,98.27668,24864,174.505929,44150,0.01,682,41
206,0.003141,0.008793,97.541502,24678,182.581028,46193,0.05,687,41
207,0.004916,0.014334,103.869565,26279,187.98419,47560,0.1,848,41
208,0.004968,0.008035,99.537549,25183,183.3083,46377,0.2,512,41
209,0.008296,0.011566,101.189723,25601,186.494071,47183,0.5,892,41
210,0.003028,0.006863,101.019763,25558,186.509881,47187,0.01,682,42
211,0.003663,0.008344,98.375494,24889,172.225296,43573,0.05,687,42
212,0.00402,0.011849,99.067194,25064,173.766798,43963,0.1,848,42
213,0.004543,0.013232,102.616601,25962,194.968379,49327,0.2,512,42
214,0.00695,0.018234,99.003953,25048,212.549407,53775,0.5,892,42
215,0.003171,0.006089,100.928854,25535,183.043478,46310,0.01,682,43
216,0.003829,0.010424,98.869565,25014,177.841897,44994,0.05,687,43
217,0.003679,0.007099,99.102767,25073,182.699605,46223,0.1,848,43
218,0.004687,0.006757,99.818182,25254,177.442688,44893,0.2,512,43
219,0.006998,0.008177,97.84585,24755,184.652174,46717,0.5,892,43
220,0.003729,0.009957,101.703557,25731,202.355731,51196,0.01,682,44
221,0.004194,0.011842,102.83004,26016,211.27668,53453,0.05,687,44
222,0.003734,0.006333,99.513834,25177,173.928854,44004,0.1,848,44
223,0.005302,0.007652,102.01581,25810,192.043478,48587,0.2,512,44
224,0.007895,0.013426,99.090909,25070,190.545455,48208,0.5,892,44
225,0.003397,0.006819,98.205534,24846,186.118577,47088,0.01,682,45
226,0.003575,0.00871,99.628458,25206,182.794466,46247,0.05,687,45
227,0.003785,0.006933,98.936759,25031,178.407115,45137,0.1,848,45
228,0.004942,0.013984,101.15415,25592,196.395257,49688,0.2,512,45
229,0.008721,0.010694,100.177866,25345,184.387352,46650,0.5,892,45
230,0.003648,0.006871,100.0,25300,180.913043,45771,0.01,682,46
231,0.003365,0.014827,98.517787,24925,178.363636,45126,0.05,687,46
232,0.004059,0.010419,99.110672,25075,178.857708,45251,0.1,848,46
233,0.004162,0.008601,99.245059,25109,186.928854,47293,0.2,512,46
234,0.007145,0.008541,99.478261,25168,190.521739,48202,0.5,892,46
235,0.003311,0.010378,100.703557,25478,175.687747,44449,0.01,682,47
236,0.003594,0.015506,99.521739,25179,182.280632,46117,0.05,687,47
237,0.003586,0.01124,101.114625,25582,192.312253,48655,0.1,848,47
238,0.004457,0.005652,99.86166,25265,183.245059,46361,0.2,512,47
239,0.006492,0.008596,97.134387,24575,198.134387,50128,0.5,892,47
240,0.003159,0.009498,103.059289,26074,196.747036,49777,0.01,682,48
241,0.003418,0.006014,99.743083,25235,179.790514,45487,0.05,687,48
242,0.004278,0.015172,100.490119,25424,176.241107,44589,0.1,848,48
243,0.004383,0.007228,98.126482,24826,185.798419,47007,0.2,512,48
244,0.007086,0.008207,97.367589,24634,196.102767,49614,0.5,892,48
245,0.003641,0.007139,101.41502,25658,184.731225,46737,0.01,682,49
246,0.003561,0.012781,102.426877,25914,192.12253,48607,0.05,687,49
247,0.003674,0.010868,100.624506,25458,187.003953,47312,0.1,848,49
248,0.00432,0.012106,100.142292,25336,196.505929,49716,0.2,512,49
249,0.007313,0.009282,95.893281,24261,175.612648,44430,0.5,892,49
